Conditions,Classes
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port <= 1.298836350440979 AND Dst_Port <= 0.860032469034195 AND Init_Bwd_Win_Byts > -0.6030022203922272 AND Src_Port > 0.15948862582445145 AND Init_Bwd_Win_Byts > -0.5912209749221802 AND Flow_Duration <= -0.16194000840187073 AND Flow_IAT_Min > -0.24064742773771286 AND Flow_IAT_Min <= -0.22796019911766052 AND Flow_IAT_Min > -0.23844095319509506,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration <= -0.14916939288377762 AND Init_Bwd_Win_Byts > -0.27583347260951996 AND Src_Port > 1.0165314078330994 AND Src_Port > 1.020406424999237 AND Dst_Port <= -0.7132238745689392 AND Init_Bwd_Win_Byts > 0.15812285244464874 AND Src_Port > 1.0982590913772583 AND Src_Port <= 1.1748270392417908 AND Src_Port <= 1.1696673035621643 AND Src_Port <= 1.1102779507637024 AND Init_Bwd_Win_Byts > 0.8086792230606079 AND Flow_IAT_Min <= -0.19679374247789383 AND Src_Port <= 1.0997511148452759,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.932635247707367 AND Flow_Duration > -0.17783533781766891 AND Flow_IAT_Min > -0.24423296004533768 AND Flow_Duration <= -0.15283754467964172 AND Flow_Duration > -0.15473955124616623 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration > -0.1541961207985878 AND Flow_Duration <= -0.15310925990343094 AND Flow_Duration <= -0.15338097512722015 AND Flow_Duration <= -0.15365269035100937 AND Flow_Duration > -0.15392440557479858,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts > 1.9850937128067017 AND Init_Bwd_Win_Byts > 1.9983078241348267 AND Flow_Duration <= -0.1580001339316368 AND Flow_IAT_Min <= -0.24257809668779373 AND Init_Bwd_Win_Byts <= 2.002287983894348 AND Init_Bwd_Win_Byts <= 1.998745620250702 AND Init_Bwd_Win_Byts > 1.9984670281410217,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.4528309851884842 AND Init_Bwd_Win_Byts <= 1.991342544555664 AND Src_Port <= 0.8073424398899078 AND Src_Port <= 0.7370739877223969 AND Init_Bwd_Win_Byts > 0.7096131443977356 AND Flow_IAT_Min > -0.2221682071685791 AND Flow_Duration > -0.13177962601184845 AND Src_Port <= 0.6371937692165375 AND Flow_IAT_Min <= -0.22078915685415268,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port > 1.0507227778434753 AND Src_Port > 1.0841888189315796 AND Flow_Duration > -0.14577294886112213 AND Flow_Duration > -0.12281302362680435 AND Dst_Port > -0.8777488172054291 AND Flow_Duration > -0.11860143765807152,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts > -0.5983056426048279 AND Flow_Duration <= -0.1759333312511444 AND Src_Port <= 1.0412113070487976 AND Init_Bwd_Win_Byts <= -0.5891512930393219 AND Flow_IAT_Min <= -0.23954419791698456 AND Dst_Port <= -0.5195886790752411,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts > -0.5827034413814545 AND Dst_Port > -0.9260448515415192 AND Flow_Duration > -0.13408920168876648 AND Flow_IAT_Min <= -0.2365102916955948,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts > -0.5840567052364349 AND Src_Port <= 1.0228723287582397 AND Src_Port > 0.7319971024990082 AND Src_Port > 0.8021826446056366 AND Init_Bwd_Win_Byts <= -0.5741859078407288 AND Src_Port > 0.9357568919658661 AND Init_Bwd_Win_Byts <= -0.5807531476020813 AND Src_Port > 0.9668399393558502 AND Src_Port <= 0.9987104535102844 AND Src_Port <= 0.9762063026428223,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration > -0.1558264121413231 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration > -0.15473955124616623 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration > -0.1541961207985878 AND Init_Bwd_Win_Byts > 1.9845762848854065 AND Flow_Duration <= -0.1522941142320633 AND Flow_Duration <= -0.15365269035100937 AND Flow_Duration > -0.15392440557479858,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags > 2.5738614946603775 AND Init_Bwd_Win_Byts > -0.5981464684009552 AND Dst_Port > 1.3522539138793945 AND Flow_Duration <= -0.1575925573706627 AND Flow_Duration > -0.17674847692251205 AND Flow_IAT_Min > -0.22078915685415268 AND Flow_Duration <= -0.15854356437921524 AND Flow_IAT_Min > -0.2188584953546524 AND Flow_Duration > -0.16547229140996933 AND Flow_IAT_Min > -0.21582459658384323 AND Flow_IAT_Min <= -0.21113582700490952 AND Flow_Duration > -0.16370614618062973,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port > 1.676102638244629 AND Dst_Port > 1.7042311429977417 AND Dst_Port <= 1.8353999257087708 AND Src_Port <= -0.9693029522895813 AND Init_Bwd_Win_Byts <= 0.8086792230606079 AND Src_Port <= -1.1358667314052582 AND Dst_Port > 1.7457603812217712 AND Init_Bwd_Win_Byts <= -0.42827340960502625,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration > -0.14916939288377762 AND Dst_Port <= -0.7424137890338898 AND Flow_IAT_Min > -0.23871676623821259 AND Init_Bwd_Win_Byts <= 1.5214852094650269 AND Init_Bwd_Win_Byts > -0.39607396721839905 AND Src_Port > 0.9828788042068481 AND Flow_IAT_Min > -0.2376135289669037 AND Flow_IAT_Min > -0.2354070544242859 AND Flow_IAT_Min <= -0.15818043053150177 AND Flow_Duration > -0.1433275118470192 AND Src_Port <= 1.0844374895095825 AND Flow_IAT_Min <= -0.2276843935251236,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration > -0.11805800721049309 AND Flow_IAT_Min > -0.23871676623821259 AND Flow_IAT_Min <= -0.11846387758851051 AND Flow_IAT_Min <= -0.23623447865247726 AND Flow_Duration > -0.11751457676291466 AND Flow_Duration > -0.11710700392723083 AND Src_Port > 0.06431233882904053,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts > 1.9850937128067017 AND Init_Bwd_Win_Byts <= 1.9983078241348267 AND Flow_Duration <= -0.15338097512722015 AND Init_Bwd_Win_Byts <= 1.9918997883796692 AND Flow_IAT_Min > -0.24257809668779373 AND Flow_IAT_Min > -0.2287876307964325,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts > -0.6030022203922272 AND Dst_Port > 1.9655073285102844 AND Dst_Port <= 2.06101131439209 AND Dst_Port > 2.045832633972168 AND Dst_Port <= 2.0517501831054688 AND Flow_Duration <= -0.12838318198919296 AND Flow_Duration <= -0.12865489721298218 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_IAT_Min <= -0.24257809668779373 AND Init_Bwd_Win_Byts > -0.5216080546379089,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags > 2.5738614946603775 AND Init_Bwd_Win_Byts <= -0.5981464684009552 AND Init_Bwd_Win_Byts <= -0.5993803143501282 AND Src_Port > -1.1027114689350128 AND Src_Port <= -0.03291550278663635 AND Init_Bwd_Win_Byts > -0.5996589064598083 AND Flow_Duration <= -0.16003800183534622 AND Dst_Port > 1.0250350832939148 AND Flow_Duration <= -0.16194000840187073 AND Flow_Duration > -0.17620504647493362 AND Flow_IAT_Min > -0.21830687671899796 AND Flow_Duration > -0.16357029229402542,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts <= -0.6002161204814911 AND Src_Port > 0.36366286873817444 AND Src_Port <= 0.449431374669075 AND Init_Bwd_Win_Byts <= -0.6018081605434418 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.15215826034545898 AND Flow_Duration > -0.1558264121413231 AND Flow_Duration > -0.15473955124616623 AND Flow_Duration <= -0.15446783602237701,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port > 1.8638468384742737 AND Src_Port <= -1.030992478132248 AND Dst_Port > 1.8903034925460815 AND Init_Bwd_Win_Byts > -0.42576591670513153 AND Src_Port <= -1.2999852895736694 AND Flow_Duration > -0.14495780318975449,DoS-Synflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts <= -0.6002161204814911 AND Src_Port > 0.36366286873817444 AND Src_Port > 0.449431374669075 AND Dst_Port <= -0.791267067193985 AND Src_Port > 0.8443934321403503 AND Src_Port <= 0.8849879205226898 AND Src_Port > 0.8493045568466187 AND Src_Port <= 0.8784604668617249 AND Src_Port > 0.8611368238925934 AND Flow_Duration > -0.16601572185754776 AND Flow_Duration <= -0.16520057618618011,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min > -0.2199617326259613 AND Flow_IAT_Min <= -0.20175831019878387 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_Duration > -0.1647930070757866 AND Flow_Duration <= -0.16017385572195053 AND Init_Bwd_Win_Byts > 1.9848549365997314 AND Init_Bwd_Win_Byts <= 1.9984670281410217 AND Init_Bwd_Win_Byts > 1.9950042963027954 AND Flow_IAT_Min <= -0.20892935246229172 AND Flow_IAT_Min > -0.21003258973360062 AND Flow_IAT_Min <= -0.20948097109794617,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port > 1.080272376537323 AND Init_Bwd_Win_Byts > -0.5878378450870514 AND Src_Port <= 1.205122709274292 AND Src_Port > 1.1348335146903992 AND Init_Bwd_Win_Byts <= -0.5781262814998627 AND Src_Port <= 1.198077142238617 AND Src_Port > 1.1908037066459656 AND Init_Bwd_Win_Byts > -0.5799969434738159 AND Flow_IAT_Min <= -0.2423022910952568 AND Flow_Duration > -0.1580001339316368 AND Flow_Duration > -0.1558264121413231,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port <= 1.298836350440979 AND Dst_Port <= 0.860032469034195 AND Init_Bwd_Win_Byts <= -0.6030022203922272 AND Src_Port > -0.8920719027519226,DoS-Synflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.4528309851884842 AND Init_Bwd_Win_Byts <= 1.991342544555664 AND Src_Port > 0.8073424398899078 AND Src_Port <= 0.8636027574539185 AND Flow_Duration > -0.14604466408491135 AND Flow_IAT_Min <= -0.12039454281330109 AND Flow_IAT_Min <= -0.1686611846089363 AND Flow_IAT_Min <= -0.24092324078083038 AND Src_Port > 0.8472323417663574 AND Flow_Duration > -0.1308286190032959 AND Flow_Duration <= -0.127432182431221,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port > -0.46147421002388 AND Dst_Port > -0.44411948323249817 AND Init_Bwd_Win_Byts > 0.20473046600818634 AND Dst_Port <= 1.6293988227844238 AND Dst_Port > 1.0671215653419495 AND Src_Port <= -0.9884708225727081 AND Dst_Port <= 1.5981921553611755 AND Dst_Port > 1.4937453866004944 AND Dst_Port <= 1.5924072265625 AND Flow_Duration <= -0.16098900139331818 AND Flow_Duration <= -0.17837876826524734 AND Init_Bwd_Win_Byts <= 0.8095548450946808,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min > -0.2199617326259613 AND Flow_IAT_Min <= -0.20175831019878387 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_Duration > -0.1647930070757866 AND Flow_Duration <= -0.16017385572195053 AND Init_Bwd_Win_Byts <= 1.9848549365997314 AND Init_Bwd_Win_Byts <= 1.9813922047615051 AND Flow_IAT_Min > -0.20892935246229172 AND Flow_IAT_Min <= -0.20782611519098282 AND Flow_IAT_Min > -0.20837773382663727 AND Init_Bwd_Win_Byts > 0.7582904398441315,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags > 2.5738614946603775 AND Init_Bwd_Win_Byts <= -0.5981464684009552 AND Init_Bwd_Win_Byts > -0.5993803143501282 AND Flow_Duration > -0.15827184915542603 AND Flow_IAT_Min <= -0.19513888657093048 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_IAT_Min <= -0.2378893420100212 AND Flow_IAT_Min > -0.24147485941648483 AND Flow_Duration > -0.15446783602237701 AND Flow_Duration <= -0.15093553811311722 AND Flow_Duration > -0.15338097512722015,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration > -0.14916939288377762 AND Dst_Port <= -0.7424137890338898 AND Flow_IAT_Min <= -0.23871676623821259 AND Src_Port <= 1.0314927101135254 AND Flow_Duration <= -0.1399310827255249 AND Flow_IAT_Min <= -0.24423296004533768,Mirai-UDP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port <= 0.909543514251709 AND Src_Port <= 0.893028050661087 AND Dst_Port <= -0.5620997697114944 AND Src_Port > 0.8815687596797943 AND Src_Port <= 0.8835166394710541 AND Init_Bwd_Win_Byts > -0.4363929331302643 AND Init_Bwd_Win_Byts <= -0.02285480871796608 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration > -0.17865048348903656 AND Init_Bwd_Win_Byts <= -0.03905404079705477 AND Flow_Duration <= -0.1381649300456047 AND Flow_Duration > -0.17810705304145813 AND Flow_IAT_Min > -0.24506039172410965 AND Flow_Duration <= -0.15854356437921524 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts > -0.2929879426956177 AND Init_Bwd_Win_Byts <= -0.22815121710300446,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min > -0.2332005798816681 AND Flow_IAT_Min > -0.21610040217638016 AND Init_Bwd_Win_Byts > 1.988675832748413 AND Flow_Duration <= -0.16424958407878876 AND Flow_Duration > -0.1647930070757866 AND Flow_Duration <= -0.16452129185199738 AND Init_Bwd_Win_Byts <= 1.9950042963027954,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port <= 1.298836350440979 AND Dst_Port <= 0.860032469034195 AND Init_Bwd_Win_Byts <= -0.6030022203922272 AND Src_Port <= -0.8920719027519226 AND Dst_Port > -0.49411383271217346 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration > -0.17729190737009048 AND Src_Port <= -0.9163788557052612 AND Flow_Duration <= -0.1703631654381752 AND Flow_Duration > -0.17634090036153793,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.5816287994384766 AND Init_Bwd_Win_Byts > -0.5377276837825775 AND Src_Port <= 1.0439881086349487 AND Init_Bwd_Win_Byts > -0.5117770731449127 AND Init_Bwd_Win_Byts > -0.4857070595026016 AND Init_Bwd_Win_Byts <= -0.47380639612674713 AND Flow_Duration <= -0.12403573840856552 AND Flow_Duration <= -0.1343609169125557,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration <= -0.14916939288377762 AND Init_Bwd_Win_Byts > -0.27583347260951996 AND Src_Port > 1.0165314078330994 AND Src_Port > 1.020406424999237 AND Dst_Port <= -0.7132238745689392 AND Init_Bwd_Win_Byts > 0.15812285244464874 AND Src_Port <= 1.0982590913772583 AND Src_Port <= 1.0559447407722473 AND Init_Bwd_Win_Byts > 3.2904253005981445 AND Src_Port <= 1.0464125871658325 AND Init_Bwd_Win_Byts > 4.493427276611328 AND Src_Port <= 1.0258563160896301,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.4528309851884842 AND Init_Bwd_Win_Byts <= 1.991342544555664 AND Src_Port > 0.8073424398899078 AND Src_Port <= 0.8636027574539185 AND Flow_Duration > -0.14604466408491135 AND Flow_IAT_Min <= -0.12039454281330109 AND Flow_IAT_Min <= -0.1686611846089363 AND Flow_IAT_Min > -0.24092324078083038 AND Flow_Duration > -0.1325947716832161 AND Flow_IAT_Min > -0.2144455462694168 AND Flow_Duration > -0.1200958713889122,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port <= -0.5455942153930664 AND Src_Port <= 0.9586340188980103 AND Src_Port <= 0.8578213155269623 AND Src_Port > 0.8464241921901703 AND Flow_Duration > -0.17783533781766891 AND Src_Port > 0.8466728627681732 AND Flow_Duration > -0.15636984258890152 AND Flow_IAT_Min <= -0.24064742773771286 AND Flow_Duration <= -0.1559622660279274 AND Flow_IAT_Min <= -0.24368133395910263,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts <= -0.6030022203922272 AND Dst_Port <= 2.1263437271118164 AND Dst_Port > 1.8838286995887756 AND Src_Port > -1.177310824394226 AND Flow_IAT_Min > -0.24257809668779373 AND Src_Port > -0.9771773517131805 AND Flow_Duration <= -0.15881527960300446 AND Flow_IAT_Min > -0.22244401276111603,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration <= -0.14916939288377762 AND Init_Bwd_Win_Byts <= -0.27583347260951996 AND Dst_Port <= -0.739760160446167 AND Src_Port > 1.0047820210456848 AND Src_Port > 1.0371705889701843 AND Flow_IAT_Min > -0.24312972277402878 AND Src_Port <= 1.3094995617866516 AND Src_Port <= 1.1243274807929993 AND Src_Port > 1.1142358183860779 AND Flow_Duration > -0.16628744453191757 AND Src_Port > 1.1192298531532288,Scan Port OS
